,Place,Person,Post,Share,Date
0,,['I Roam Alone'],"ไ่ม่มีใครดูแลเรา ได้เท่ากับเราดูแลตัวเอง :)
แม่คอยสอนตั้งแต่เด็กๆว่าให้เราคอยดูแลตัวเอง เพราะการมีสุขภาพดีมันเป็นความรับผิดชอบทั้งต่อตัวเองและคนรอบตัว เพราะแม่ไม่ชอบลำบากใคร
… เพิ่มเติม",,2021-12-04 18:06:02.576833
1,,['I Roam Alone'],"สเปน - จุดเริ่มต้น 'เดินทางคนเดียว'
จะเป็นยังไง? ถ้าลองทำแบบเดิมเหมือน 10 ปีที่แล้วทุกอย่าง! ไปกดกริ่งขอดูอพาร์ทเม้นท์เดิมที่เคยอยู่ เดินถนนเส้นเดิม กินอาหารแบบเดิม เจอเพื่อนคนเดิมๆที่ไม่เจอมานาาาาาน… เพิ่มเติม",,2021-12-02 19:01:00.000000
2,,['I Roam Alone'],"รูปเมื่อ 10 ปีที่แล้วตอนอยู่สเปน คายซาลาเปาออกมาก่อน 555
ในวันที่เหนื่อยๆ ลองหันกลับไปมองข้างหลังดูเส้นทางที่เดินผ่านมา ก็อาจจะเห็นว่า เฮ้ย! เราเดินมาไกลเหมือนกันนะ
กลับมาสเปนครั้งนี้หลังจากไม่ได้กลับมาตั้ง 10… เพิ่มเติม",,2021-12-01 19:00:00.000000
3,,['I Roam Alone'],"หิวตอนเที่ยงคืนทำยังไง?
กินอะไรไม่อ้วน ไม่กรดไหลย้อน!
อยากกินก็ไปนี่เลย
Line : @koreadong
Koreadong โคเรียดอง - อาหารเกาหลีดอง
#สงครามหน้าตู้เย็น",,2021-11-22 18:00:00.000000
4,,['I Roam Alone'],พาเดินสวน เล่าเรื่องสนุกๆที่สเปน ;),,2021-11-21 22:25:00.000000
5,,['I Roam Alone'],"มิ้นท์กำลังเดินทางไปสเปนค่ะ เป็นการกลับสู่จุดเริ่มต้นครั้งแรกของ I Roam Alone เมื่อ 10 ปีที่แล้ว
มิ้นท์เคยเรียนปริญญาโทที่นี่ เริ่มต้นเดินทางแบ๊คแพ๊คครั้งแรกก็ที่นี่ ได้แรงบันดาลใจในการเดินทางคนเดียว… เพิ่มเติม",,2021-11-19 09:00:00.000000
6,,['I Roam Alone'],"เวลาอวยพรใคร จะขอให้จิตใจแข็งแรง เพราะเวลาจิตเราดี อะไรๆก็ดีไปหมด
เวลาจิตใจแข็งแรง มันก็เหมือนใส่แว่นตาสะอาดๆ มองเห็นชัด คนรอบข้างดีเราก็มองเห็น ความรู้สึกดีๆ ความโชคดีในชีวิตมองเห็นหมด
แต่เวลาจิตไม่ดี… เพิ่มเติม",,2021-11-18 19:30:00.000000
7,,['I Roam Alone'],ชวนคุย: ถ้าจะต้องเลือกระหว่างงานดี แฟนดี ผิวดี จิตดี คนรอบตัวดี เลือกอะไรดีและเพราะอะไรคะ?,,2021-11-17 19:42:00.000000
8,,['I Roam Alone'],"เสื้อวง I Roam Alone มาอยู่แก็งค์เรามาาาาา 5555
เพลงยังไม่มา วงยังไม่มี แต่มีเสื้อวงแล้วค่ะ เสื้อ Limited Edition จากซิงเกิลแรก I SING ALONE ‘ทำไมไม่เชื่อแม่’ มีแค่ 1,000 ตัว ทำแล้วโยนพิมพ์ทิ้งเข้าป่าข้างบ้าน… เพิ่มเติม",,2021-11-14 14:15:00.000000
9,,['I Roam Alone'],"ความรักไม่ได้เข้าตา... ผมม้าอ่ะเข้า!
ลุคนี้ แมวนี่ลุกขึ้นยืน แล้วเดินมากัดเลยคับ 555 แมวจำไม่ได้
เมื่อบอกเพื่อนว่าอยากเปลี่ยนลุค และนี่คือสิ่งที่เพื่อนส่งมาให้ พร้อมบอกว่า 'ชั้นยังเก็บเสื้อขาวให้แก' โอ้ยยยย
#… เพิ่มเติม",,2021-11-10 19:01:00.000000
10,,['I Roam Alone'],"กินให้หมด 5 ร้านเด็ดบ่ายยันค่ำ! อิ่มมมมมม
ทั้งหอยแครงลวก คอหมูย่างทอด ไข่เจียวแหนม ตำปลาร้าแซบๆ หอยทอดกรออออบ ต้มเลือดหมูเครื่องในเด้งดึ๊ง ข้าวมันไก่ราดซออออส
ร้านทั้งหมดอยู่ในโซนไม่มีที่จอด เลยขอใช้บริการ… เพิ่มเติม",,2021-11-07 19:00:00.000000
11,,['I Roam Alone'],"เดินทางไปตามหาบ้านเล็กๆแสนลึกลับกลางป่า! ที่เจ้าของบ้านไม่รับโทรศัพท์ คงเพราะมีสัญญานโทรศัพท์แค่ 1 ขีด แต่รอยยิ้มและเสียงหัวเราะท่วมท้นมากเพราะความน่ารักของเจ้าของบ้านและความป่วนของเพื่อนๆ
เก่-เล-ฮิ… เพิ่มเติม",,2021-11-04 19:00:00.000000
12,,['I Roam Alone'],"เก่-เล-ฮิ กลับบ้านกันนะ
บ้านหลังนี้ตั้งอยู่กลางทุ่งนา ใต้เงาของดอยทูเล จังหวัดตาก อาโป ชายหนุ่มปกาเกอะญอซึ่งชื่อแปลว่า 'สายน้ำ' ตั้งชื่อบ้านหลังนี้ว่า 'กลับบ้านกัน' เพื่อคอยเตือนให้ตัวเองผู้ชอบออกเดินทาง… เพิ่มเติม",,2021-11-03 19:24:00.000000
13,,['I Roam Alone'],"กินแหลก แจกรหัสเซฟ อาม่าด่าเละ 555 โอ้ยยยยย!
อาหารเต็มโต๊ะ ร้านเด็ดทั้งเกาหลี จีน ปิ้งย่าง เค้กอีกเพียบ! กินกัน 3 คนพร้อมหน้าพร้อมซักประวัติศาสตร์ของอาม่า
อาม่าทำงานอะไร?
แมงมุมห้ามเลือดได้?… เพิ่มเติม",,2021-11-01 19:00:00.000000
14,,['I Roam Alone'],"10 ชั่วโมง อยู่สนามบินที่ดีที่สุดในโลก!
ทำอะไรได้บ้าง ตั้งแต่ฟรียันแพง?!
ลองทุกอย่าง ไปทุกที่ ทำดีที่สุดแล้ววววว",,2021-10-28 19:00:00.000000
15,,['I Roam Alone'],"แม่ยิ้มมมมมหวานๆสิคะ #รักแม่มิ้นท์รักงานขายแม่มิ้นท์
ปล้นแม่มาทั้งปี วันนี้ขอชวนแม่สุขภาพดีไปด้วยกัน กับดัชชี่ไบโอดูโอ้โพรไบโอติก โยเกิร์ตดีๆที่มีโพรไบโอติกกว่าสองหมื่นล้านตัว มี LGG… เพิ่มเติม",,2021-10-26 19:00:00.000000
16,,['I Roam Alone'],"คนเดียว โบกรถเที่ยวอลาสก้า! สภาาาาพ
หลังจากแผนเปลี่ยนทุกอย่างก็งงเลย 555 ต้องโบกรถ ขึ้นเฮลิ นอนโฮสเทลห้องรวม มีเรนเดียร์ขวิด ดูแสงเหนือในความมืด และอีกมากมาย
มิ้นท์ปล่อยจอยขนาดนี้ ก็ขอให้ทุกคนเอนจอยนะคะ
ปล. การโบกรถมีความเสี่ยง โปรดใช้ความระมัดระวังและไม่ควรลอกเลียนแบบ",,2021-10-24 19:00:00.000000
17,,['I Roam Alone'],"อลาสก้า - โดนเท! ทริปรถไฟที่สวยที่สุดในโลก
มิ้นท์ต้องเปลี่ยนแผนกระทันหันเพราะพายุเข้าที่เมือง Homer เลยตัดสินใจนั่งรถไฟขึ้นเหนือไปที่เมืองเดนาลิแทน เส้นทางนี้สวยที่สุดที่เคยนั่งมา
แต่ความสุขอยู่ได้ไม่นาน… เพิ่มเติม",,2021-10-21 19:00:00.000000
18,,['I Roam Alone'],"เยาวราช ทัก!
นอกจากจะน่ารัก ก็ไม่เก่งอะไรอีกเลย 5555 โอ้ย!
นี่ผมทรงอะไร มองไกลๆนึกว่านางพญาผมบาร์โค้ด ผ่าม!
ผมหน้าม้า หรือจะสู้ผมเป็นแฟนกับพี่ได้มั้ยคับ โว๊ะ!
#แม่ขอให้พอ #แม่ตามกลับบ้านไปเลี้ยงแมว
ปล. ผมทรงนี้ได้มาจากร้าน A Day Salon ชอบมาาาก",,2021-10-19 19:00:00.000000
19,,['I Roam Alone'],"อลาสก้า - กินอาหารเผ่าทุกเมนู สุดดดดจัด!
ทั้งซดน้ำมันแมวน้ำ ไขมันเรนเดียร์ ไข่ปลาสดๆ ปลาหมักใต้ดินคลุมด้วยมอสกลิ่นดินๆ ไอติมไขมันสัตว์ วาฬดิบ วาฬต้ม และอื่นๆอีกมากมาย
ลุยยยยยย
ปล. อยากเห็นการแล่ปลาแบบชาวเผ่าชัดๆ ไปทางยูทูปโลดดด เฟสบุ๊คเค้าบล๊อกค่า
#Alaska #NeverStopExploring",,2021-10-15 18:00:00.000000
20,,['I Roam Alone'],"เมนูเด็ดๆ อาหารชาวอินูอิทที่อลาสก้า!
บอกเลยว่าแปลก แต่อร่อย แต่เอ๊ะ แต่อร่อย 555 มิ้นท์ไม่เคยกินหลายอย่างเลย เช่น น้ำมันแมวน้ำ เป็นต้น
คลิปมาพรุ่งนี้ 6 โมงเย็นนะคะ",,2021-10-14 19:00:00.000000
21,,['I Roam Alone'],"อลาสก้าไปอยู่กับชาวเผ่า 3 วัน! ได้ตกปลาแซลมอน กินอาหารถิ่น เก็บเบอร์รี่ และเรียนรู้วิถีชีวิตแบบชาวอินูอิท สนุกมาาากๆๆๆ
Ep. 2 มาวันศุกร์ตอน 6 โมงเย็นนะคะ",,2021-10-12 19:00:00.000000
22,,['I Roam Alone'],"ไปอลาสก้าตามหาไอติมเอสกิโมมมม!
*คลิปมา 1 ทุ่มวันพรุ่งนี้นะคะ
ไอติมเอสกิโมเป็น Signature Dish ของชาวพื้นเมืองอลาสก้า เป็นไอติมที่ทำจากไขมันสัตว์ ผสมเบอรี่ ผสมปลาดิบ… เพิ่มเติม",,2021-10-11 19:00:00.000000
23,,['I Roam Alone'],"พาแม่เก็บสเต็มเซลล์ อายุยืน 120 ปี!
สเต็มเซลล์คืออะไร? ซ่อมอวัยวะได้จริงรึเปล่า? ฉีดแล้วสวย อายุยืน? เก็บอย่างไร? เจ็บไหม? แพงรึเปล่า? ใครควรเก็บ? คลิปนี้มีคำตอบหมดเลยทุกขั้นตอน
ขอบคุณ Medeze… เพิ่มเติม",,2021-10-05 19:00:00.000000
24,,['I Roam Alone'],"มิ้นท์พาแม่ไปเก็บสเต็มเซลล์ที่ Medeze มาค่ะ อยากให้แม่อยู่กับเราไปน๊าาานนาานชั่วกาลปวสาน (แม่มองบนแล้วววว)
สเต็มเซลล์ไม่ได้ช่วยแค่เรื่องความสวยความงาม แต่ใช้เพื่อซ่อมแซม ฟื้นฟูส่วนต่างๆของร่างกายได้หมดเลย… เพิ่มเติม",,2021-10-05 12:00:00.000000
25,,['I Roam Alone'],"วันสุดท้ายที่อัฟกานิสถาน โซมาย่าอยู่ที่ไหน?
การเดินทางไปอัฟกานิสถานในช่วงเวลาที่ผ่านมามีสิ่งไม่คาดฝันเกิดขึ้นมากมาย หลังจากเดินทางออกมาได้แค่ 2 สัปดาห์… เพิ่มเติม",,2021-10-03 10:12:00.000000
26,,['I Roam Alone'],"10 ภาพที่เหลือรอดจากม้วนฟิล์มที่ถูกแสง
Ep. 5 วันพรุ่งนี้เวลา 10 โมงเช้านะคะ (ตอนสุดท้าย)
ฟิล์มม้วนนี้ถูกแสงทั้งม้วนจากความสะเพร่าของมิ้นท์เอง ตอนนั้นน้ำตาหยดเลยล่ะ… เพิ่มเติม",,2021-10-02 10:00:00.000000
27,,['I Roam Alone'],"เมื่อตาลีบันอยู่ใกล้สนามบิน ทำให้สายการบินเลื่อนไฟล์ทอย่างไม่มีกำหนด และการตัดสินใจครั้งใหญ่ของโซมาย่า
นี่เป็นช่วงเวลาที่บีบหัวใจที่สุดทั้งกับมิ้นท์และโซมาย่า เนื้อหามีความละเอียดอ่อน… เพิ่มเติม",,2021-09-30 19:00:00.000000
28,,['I Roam Alone'],"ชีวิตหญิงสาวอัฟกันก่อนตาลีบัน...
โซมาย่าเด็กสาววัย 24 ไกด์ผู้หญิง 1 ในไม่กี่คนในอัฟกานิสถานจะพามิ้นท์ไปรู้จักมุมเล็กๆในชีวิตของเธอ
ผู้หญิงที่ดี?
ช้อปปิ้ง ชุดเซ็กซี่?
การแต่งงาน?
ชีวิตที่อยากได้?… เพิ่มเติม",,2021-09-26 10:00:00.000000
29,,['I Roam Alone'],"จำกันได้ไหมทุกคนนนนน
นี่มิ้นท์เอง Make Over ที่อัฟกานิสถานโดยโซมาย่า จริงๆสาวๆอัฟกันเค้าเปรี้ยวมากเลยนะ ฉีกทุกอย่างที่เคยรู้เลย
พรุ่งนี้ 10 โมงเช้า มารอติดตาม Ep. 3 ชีวิตแบบผู้หญิงๆที่อัฟกานิสถานก่อนการมาของตาลีบันกันค่ะ",,2021-09-25 21:38:00.000000
30,,['I Roam Alone'],"สตรีทฟู๊ต ‘อัฟกานิสถาน’ อร่อยสุดในย่านนี้!
ทั้งไอติมนมที่อร่อยที่สุดในโลก ไชน่ากี ถ้วยชาที่แปลงร่างเป็นหม้อตุ๋นแพะ หรือจะไก่ย่างหนังบางกรอบนอกนุ่มใน และอีกมากมาย
สามารถติดตามตอนต่อไปได้ทุกวันพฤหัสบดีเวลา 1… เพิ่มเติม",,2021-09-23 19:00:00.000000
31,,['I Roam Alone'],"Ep. 1 วันแรกที่ ‘อัฟกานิสถาน’ ณ กรุงคาบูล
กรุงคาบูลเป็นอย่างไร?
อาหารมื้อแรก?
ผู้คนบนท้องถนน?
และโรงแรมไร้ชื่อ?
ไกด์ทุกคนปลอดภัย และได้ดูเนื้อหาทั้งหมดก่อนการลงแล้วนะคะ… เพิ่มเติม",,2021-09-19 10:00:00.000000
32,,['I Roam Alone'],"อัฟกานิสถาน [ Official Trailer ]
ก่อนอื่นต้องบอกว่าการตัดสินใจเดินทางไปอัฟกานิสถานในช่วงเวลาที่ผ่านมาเสี่ยงเกินไปจริงๆ มิ้นท์เดินทางออกมาได้แค่ 2 สัปดาห์… เพิ่มเติม",,2021-09-16 18:00:00.000000
33,,['I Roam Alone'],"ขอเก็บบันทึกไว้ว่า
ตื่นมาวันนี้ รู้ตัวอีกทีความอึมครึมได้หายไปแล้ว วันก่อนที่เคยรู้สึกเศร้ามากๆ แต่วันนี้หายแล้ว ฟ้าที่เคยมืดจากพายุ กลับมาสดใส เวลาได้ทำหน้าที่เยียวยาและตัวเราเองก็ได้กลับมาเป็นตัวเองอีกครั้ง … เพิ่มเติม",,2021-09-14 09:00:00.000000
34,,['I Roam Alone'],"คลิปการเดินทางที่อัฟกานิสถานกำลังจะมาแล้วนะคะ
มิ้นท์เองตอนแรกคิดอยู่นานเลยว่าจะลงดีมั้ย เพราะกังวลว่าเนื้อหาบางส่วนบางตอนอาจมีความละเอียดอ่อนและอาจจะทำให้หลายคนเกิดความไม่สบายใจ… เพิ่มเติม",,2021-09-09 19:00:00.000000
35,,['I Roam Alone'],"คิดถึงบ้าน! ตัวอยู่อลาสก้าแต่ใจถึงบ้านแล้วค่ะ
เพราะเป็นคนเดินทางไม่อยู่นิ่ง เจออากาศเปลี่ยนแปลงและมลภาวะตลอดเวลา แถมช่วงนี้ต้องใส่หน้ากากตลอด ผิวก็มีผดขึ้นจนน่าตีเลย แต่พอชโลมด้วยพลังเห็ดของ Origins… เพิ่มเติม",,2021-09-06 18:59:00.000000
36,,['I Roam Alone'],อลาสก้า มีน้องหมาพาเก็บเบอร์รี่,,2021-09-05 10:00:00.000000
37,,['I Roam Alone'],"กินยับ! สั่งร้านเด็ดเพียบ ‘แกล้ง’ เลี้ยงส่งน้องคัทจัง
กินเลี้ยงส่งขนาดนี้ น้องไม่ไปก็ไม่รู้จะว่ายังไงแล้วววว!
ครั้งนี้สั่งอาหารจาก GrabFood โดยเลือกจากร้านใน #GrabThumbsUp ที่ได้รับประกันความอร่อยจาก Grab… เพิ่มเติม",,2021-09-03 15:06:00.000000
38,,"['I Roam Alone', 'Bethel, Alaska']","เรื่องของยุงยักษ์ในอลาสก้า ตัวเท่าเหรียญ!
เห็นยุงไหม? ไม่ใช่เครื่องบินนะ!
1. ยุงที่นี่ทนหนาว โดยเฉพาะยุงหิมะ พวกมันมีระบบ super cooling ให้เลือดไม่แข็งตัวและเข้าโหมดจำศีลได้
2. ยุงที่นี่ตัวใหญ่เท่าเหรียญ… เพิ่มเติม",,2021-09-03 10:52:00.000000
39,,['I Roam Alone'],"เห็นตัวเองแบกเป้แบบนี้ แล้วคิดถึงตัวเองสมัยก่อนจัง...
สมัยที่มีเป้ 1 ใบก็พร้อมออกเดินทาง แผนน้อย อิสระเยอะ ไม่ต้องกลัวอะไร สมัยที่จัดเป้เก่งมาก เป้ใบเดียวเดินทางได้ 8 เดือน ตั้งแต่แอนตาร์กติก้ายันป่าอเมซอน… เพิ่มเติม",,2021-09-01 09:00:00.000000
40,,['I Roam Alone'],"กินเมนูเด็ด ‘ล็อบสเตอร์กระทะยักษ์’ ที่นิวยอร์ก ซื้อกุ้งตัวใหญ่จนต้องซื้อหม้อไปด้วย!
ไปซุปเปอร์เอเชียกับร้านขายอาหารไทยในนิวยอร์ก กวาดซื้อของกินแบบไร้สติ ทั้งเนื้อ ของทะเล และหน้ามืดเอากุ้งล็อบสเตอร์มาด้วย… เพิ่มเติม",,2021-08-28 18:00:00.000000
41,,['I Roam Alone'],"มุมเล็กๆในนิวยอร์กที่ฉันหลงรัก
ที่นิวยอร์กนอกจาก Central Park แล้ว ยังมีสวนสาธารณะเล็กๆอีกแห่งที่น่าไปไม่แพ้กัน สวนแห่งนี้ชื่อว่า Bryant Park เป็นสวนเล็กๆแสนสวยที่ล้อมรอบด้วยตึกสูงๆของแมนแฮตตัน… เพิ่มเติม",,2021-08-24 19:14:00.000000
42,,['I Roam Alone'],Hello!,,2021-08-24 00:19:00.000000
43,,['I Roam Alone'],♡,,2021-08-22 22:55:00.000000
44,,['I Roam Alone'],"โปรเจค Goods For Fund จบลงแล้วน้า เงินทั้งหมด 1,899,731.63 ถูกนำไปใช้ในการสร้างโรงพยาบาลสนาม ซื้ออุปกรณ์ป้องกันสำหรับด่านหน้า และของยังชีพสำหรับชาวบ้านในพื้นที่จังหวัดปัตตานี นราธิวาส และยะลาเรียบร้อยแล้วนะคะ
ขอบคุณทุกคนมากๆที่มาร่วมกันอุดหนุนสินค้าท้องถิ่นเป็นของแทนใจและร่วมบริจาคกันในครั้งนี้
**สำหรับใครที่ 'ของแทนใจ' ยังส่งไปไม่ถึงมือสามารถติดต่อมาได้ที่ goodsforfund@gmail.com นะคะ เดี๋ยวจะรีบติดต่อกลับไปค่ะ
ขอเป็นตัวแทนของคนในพื้นที่ขอบคุณน้ำใจของทุกคนมากๆนะคะ",,2021-08-21 21:25:00.000000
45,,['I Roam Alone'],ขอบคุณทุกๆคนที่เป็นห่วงนะคะ มิ้นท์ออกจากอัฟกานิสถานมาได้สักพักและปลอดภัยดี มิ้นท์ยังคุยกับเพื่อนๆที่อัฟกานิสถานอยู่ตลอด ตอนนี้ทุกคนยังปลอดภัย บอกพวกเขาด้วยว่าหลายคนที่ไทยตามข่าวอยู่และเป็นห่วงพวกเขามากๆ… เพิ่มเติม,,2021-08-19 13:38:00.000000
46,,['I Roam Alone'],"Live ในตำนาน ขโมยแมวแม่มาประมูล! แต่งเป็ดร้องเพลงไทยจีน จนคนต้องรีบโอน
ขอบคุณมากทุกคนที่มาร่วมส่งต่อลมหายใจด้วยกัน
#GoodsForFund
#ของแทนใจแลกเงินเธอ",,2021-07-25 11:04:00.000000
47,,['I Roam Alone'],"*คำเตือน คลิปนี้มีร้องเพลง*
พาแม่กินเที่ยวปากช่อง 1 วัน ทั้งมะเขือเทศหวาาานเจี๊ยบ ข้าวหมูกรอบกัดแล้วกรอบกรุ๊บๆกับซอสเผ็ดสูตรเด็ด ปิดด้วยมุมถ่ายรูปสวยๆ
*กิจกรรมเก็บผักจะกลับมาเปิดเฉพาะช่วงปลายปี พ.ย.-ก.พ.… เพิ่มเติม",,2021-07-24 18:00:00.000000
48,,['I Roam Alone'],"ปล้นแม่เที่ยวมาอีกแล้ววว! 1 วันปากช่อง พาแม่ขับรถไปกินๆๆ เก็บผักสลัดสวยๆ ขุดแครอทก้นกระแทก แล้วก็ทุกลักทุเลกับจักรยานรอบเขื่อน
คลิปเต็ม https://youtu.be/ierzU3zrEXM
**คลิปนี้ถ่ายทำเดือนมิถุนายน ไว้รอสถานการณ์ดีขึ้นค่อยไปกันนะคะ**
รักษาสุขภาพน้าทุกคน",,2021-07-24 13:18:00.000000
49,,['I Roam Alone'],"มิติใหม่ แม่โทรเข้ากลาง Live ขอจ่ายเงินให้หยุดร้องเพลง! และ 4 วิธีใช้ผ้าพันคอแบบอิหยังวะ
เจอกันใน LIVE พรุ่งนี้ตอน 5 โมง - 2 ทุ่มกับแคมเปญ Goods For Fund ร่วมบริจาคต่อลมหายใจเป็นคิวของปัตตานีค่ะ
ของเพียบ น่ารักๆทั้งน้าาาาน อร่อยด้วย!
#มิ้นท์ทำขนาดนี้รัฐทำอะไรอยู่
#GoodsForFundของแทนใจแลกเงินเธอ",,2021-07-21 19:00:00.000000
50,,['I Roam Alone'],"LIVE Goods For Fund ของแทนใจแลกเงินเธอ
มาร่วมบริจาคแลกของฝากแทนใจจาก 3 จังหวัดชายแดนภาคใต้
ของพิเศษๆทั้งนั้นและตอนท้ายมีประมูลหนังสือของมิ้นท์ พิมพ์ครั้งที่ 1 พร้อมลายเซ็นต์ด้วยนะคะ
***CF… เพิ่มเติม",,2021-07-18 10:18:00.000000
51,,['I Roam Alone'],"ปัตตานี ยะลา นราธิวาส ตอนนี้เป็นยังไงกันบ้าง
อ่านให้จบแล้วมาช่วยกันในไลฟ์พรุ่งนี้ตอน 10 โมงเช้ากับแคมเปญ Goods For Fund ของแทนใจแลกเงินเธอ ทำโดยประชาชนเองค่ะ
รูปแรกของอัลบั้มนี้ถ่ายไว้ตั้งแต่ 6 ปีที่แล้ว… เพิ่มเติม",,2021-07-17 20:56:00.000000
52,,['I Roam Alone'],"เกาะเต่า 1 วัน ทำทุกอย่างครบปิ๊ง! ทั้งดำน้ำ ดูวิวพระอาทิตย์ตก และกินนนน
ตอนนี้เกาะเต่ามีโลมา มีวาฬ มีฝูงปลาสวยและใหญ่บึ้มอุดมสมบูรณ์ มีชะง่อนผาให้ปีนไปดูพระอาทิตย์ตกหลายแห่ง และมีหมูกะทะเติมพลังริมทะเลด้วยล่ะ
… เพิ่มเติม",,2021-07-14 19:00:00.000000
53,,['I Roam Alone'],"เกาะเต่ายังสวยมาก เที่ยว 1 วัน ดำน้ำ ปีนเขา กินหมูกระทะ ครบ!
คลิปเต็ม https://youtu.be/g1vvwNTZzRs
เกาะเต่าเป็นที่ที่ไปกี่ทีก็สนุก และรู้สึกว่าไม่ซ้ำเลย มีภูเขาลูกใหม่ให้ปีน มีฝูงปลาใหม่ๆให้เจอ… เพิ่มเติม",,2021-07-14 13:15:00.000000
54,,['I Roam Alone'],"ดำน้ำกับ ‘หมาทะเล’ 2 ตัวที่เกาะเต่าาาาา!
แฟนต้าและมันนี่โกลเด้น 2 ตัวที่ช่วยชีวิตคนจมน้ำได้ เก็บขวดพลาสติกได้ กระโดดทับหัวเราก็ได้ จิ๊กท่ออ็อกซิเจนได้ เกาะเราก็ได้ 5555 รอบนี้นอกจากหมาทะเลสีทอง ก็เจอทั้งเต่า… เพิ่มเติม",,2021-07-11 19:00:00.000000
55,,['I Roam Alone'],"ดำน้ำกับหมาทะเล 2 ตัวที่เกาะเต่า!
คลิปเต็ม https://youtu.be/btE8wQ1-41Q
มันนี่และแฟนต้าเจ้าโกลเด้นจอมป่วนที่ป่วนมาก 555 ทั้งคาบแขนลากขึ้นเรือไม่พัก แย่งท่อหายใจ กระโดดทับหัว ขี่ตัว วุ่นวายมาาากไม่รู้ใครช่วยใคร… เพิ่มเติม",,2021-07-11 11:54:00.000000
56,,['I Roam Alone'],"***ไม่อนุญาตให้สำนักข่าวไหนเอาข่าวไปเขียนใหม่ ตัดทอน บิดเบือน ทำได้แค่แชร์ไปจากเพจเท่านั้นนะคะ****
เรื่องราวของประเทศแห่งความสิ้นหวัง
สิ่งที่น่ากลัวที่สุดที่จะเกิดขึ้นกับประเทศนึงได้ คือ ความสิ้นหวัง
เมื่อหลายปีก่อนเคยเดินทางไปประเทศนึง ประเทศที่กลายเป็นรัฐล้มเหลว ตั้งแต่สนามบินที่รันเวย์พังไม่เป็นท่า ถนนเส้นหลักเข้าเมืองพัง… เพิ่มเติม",,2021-07-09 13:59:00.000000
57,,['I Roam Alone'],"EP สุดท้ายตอนที่ชอบที่สุดของซีรียส์ Hasidic Jew
เมื่อโลกเต็มไปด้วยความขัดแย้ง?
ถ้าเราไม่เห็นด้วยกับอีกฝ่ายต้องทำยังไง?
ผู้นำที่ดี?
ระบายสีเสียงเพลงทำยังไง?
มาดูกัน!
ขอบคุณชุมชนนี้มากๆ โดยเฉพาะคุณชโลมี่ที่พาเข้าไปตลอด 3 วันที่ผ่านมา
ติดตามเขาได้ทาง
YouTube: www.youtube.com/shloimezionce
Instagram: Chusidel",,2021-07-08 21:15:00.000000
58,,['I Roam Alone'],"Ep. สุดท้ายบทเรียนมากมายจากฮาซิดิกยิว
คลิปเต็ม https://youtu.be/YrBTGQ-YtG8",,2021-07-08 13:26:00.000000
59,,['I Roam Alone'],"คำคมวันนี้ : รีไซเคิลขยะที่ไม่ใช้ แต่หัวใจที่ให้ไป ถ้าเธอไม่ใช้ก็อยากให้ส่งคืน วี้ดดดดดวิ้ว
ตอนนี้ไบโอเธิร์มสกินแคร์ในดวงใจมีแคมเปญ Let’s Give Back to The Ocean ด้วยการตั้งถังรับบรรจุภัณฑ์รีไซเคิล… เพิ่มเติม",,2021-07-07 19:01:00.000000
60,,['I Roam Alone'],"Ep.2 ฮาซิดิกยิว - เดินซุปเปอร์แบบยิว ลองกินอาหารวันสะบาโต
วันสะบาโต คือ วันที่ห้าาามทำอาหาร งงอ่ะสิ ว่านี่คืออะไรกัน! บอกเลยว่าของเพียบ ความรู้แน่น",,2021-07-04 19:00:00.000000
61,,['I Roam Alone'],"อาหารวันสะบาโตอร่อยมาาาาาก ลองกินทั้งปลาเกอร์ฟิลเต้อ สตูเนื้อชูเลททำข้ามคืน ซุปมาโซ่ พุดดิ้งมันฝรั่ง
เดินซุปเปอร์ก็สนุก ได้รู้จักนมวัวโคเชอร์ที่แรบไบยืนคุมการรีดนม และได้เรียนรู้อะไรอีกเยอะเลย
1 ทุ่มเจอกันกับ ep. 2 เดินซุปเปอร์มาร์เก็ตยิว ชิมอาหารวันสะบาโต",,2021-07-04 12:17:00.000000
62,,['I Roam Alone'],"มาเป็นครอบครัวเดียวกันมั้ยคะ ;)
เขาบอกว่าดูช้างให้ดูหาง ดูนางให้ดูอาม่า เลยเอาอาม่ามาอวด อิอิ
นอกจากความสวยได้อาม่า ทำอาหารเก่งได้แม่ ก็มีผิวแห้งนี่ล่ะที่ได้มาเต็มๆ ขาแขนลอกเป็นขุยแม้ในหน้าฝน 555… เพิ่มเติม",,2021-07-03 18:59:00.000000
