,Place,Person,Post,Share,Date
0,,['เที่ยวตามโปร'],"🔥#โปรสมัครบัตรแห่งปี ไม่คุ้มตรงไหน เอาปากกามาวงครับ !
สมัครบัตรแพลทินัมอเมริกัน เอ็กซ์เพรส วันนี้
รับโบนัสสูงสุด 170,000 คะแนนสำหรับสมาชิกใหม่ + ฟรีห้องพักโรงแรม Mandarin Oriental
.
✅ ฟรี! ห้องพักแมนดาริน… ดูเพิ่มเติม",,2021-12-05 06:28:46.333058
1,,"['เที่ยวตามโปร', 'ICONSIAM']","พาทัวร์งาน มีดีมาร์เก็ต ชั้น G สุขสยาม ICONSIAM
#ไลฟ์นี้มีแจก gift voucher 100 บาท 25 รางวัล😀",,2021-12-05 06:23:46.333077
2,,"['เที่ยวตามโปร', 'ICONSIAM']","มาช้อป เดินชมงาน มีดีมาร์เก็ต
3-5 ธค.64 ณ ลานเมือง 1 สุขสยาม ICONSIAM กันครับ😀",,2021-12-03 12:58:00.000000
3,,['เที่ยวตามโปร'],"#ข่าวประชาสัมพันธ์
“กรมการพัฒนาชุมชน” X “เที่ยวตามโปร” ช่วยเหลือผู้ประกอบการ OTOP เพื่อขับเคลื่อนเศรษฐกิจไทย
🛍พบกับ Live สด งานออกบูทของผู้ประกอบการ
ณ เมืองสุขสยาม ศูนย์การค้า ICONSIAM",,2021-12-03 10:39:00.000000
4,,['เที่ยวตามโปร'],ต้อนรับความหนาว ขอคนละรูปที่คิดว่าหนาวววที่สุดครับ🥶,,2021-12-02 19:50:00.000000
5,,['เที่ยวตามโปร'],"มา remind สำหรับคนที่จะปั่นสถานะบองวอยนะครับ
ถ้าลงทะเบียนต้นเดือนนี้
✅มีเวลาเก็บไนท์จนถึง 31 มีนาคม 2022
✅สถานะที่ได้จะอยู่ถึง กุมภาพันธ์ 2024
✅ทางแมริออทประเทศไทย แจ้งว่าสิ้นสุดการลงทะเบียนถึงสิ้นปีนี้ ยังไม่แน่ว่าปีหน้าจะต่อโปร challenge อีกไหม","𝑯𝒐𝒘 𝒕𝒐: นอนยังไงให้ได้ Bonvoy Platinum ไวกว่าชาวบ้าน
#วิธีทำ
☎️โทรหา marriott bonvoy 1800-019-086 แจ้งว่าต้องการทำ status challenge ให้โทรในเวลาราชการมีเจ้าหน้าที่คนไทยให้บริการ
.
#เงื่อนไข
Gold elite… ดูเพิ่มเติม",2021-12-02 17:29:00.000000
6,,['เที่ยวตามโปร'],"ไปเคาท์ดาวน์สิ้นปี ที่ #ภูเก็ต
ฟินกับโปร 9 ที่พัก EARN EAT ENJOY by Marriott
เริ่ม เริ่ม 2,196.- คืน ฟรี!! เครดิตโรงแรมสูงสุดถึง 2,000 บาท/คืน
.
มีโรงแรมไหนบ้าง มาดูกัน
✔ The Naka Island, A Luxury Collection… ดูเพิ่มเติม",,2021-12-01 19:00:00.000000
7,,['เที่ยวตามโปร'],"🔥Six Senses Yao Noi
หนึ่งในรีสอร์ทที่วิวดีที่สุดของไทย เริ่มต้นคืนละ 12,400 บาท (จองพักอย่างน้อย 2 คืน)
ใช้ #เราเที่ยวด้วยกัน (ถึง 31 มค.65) ลดไปอีกคืนละ 3,000 บาท
สามารถใช้สิทธิ IHG Platinum Ambassador… ดูเพิ่มเติม",,2021-12-01 13:57:00.000000
8,,['เที่ยวตามโปร'],"ถึงเลาจน์ที่เชียงใหม่จะเล็ก(มาก) แต่ก็พยายามหยิบ priority pass มาใช้เนอะเพื่อความคุ้ม เป็นกันมั้ยครับ😂
#ใช้ในประเทศวนไป",,2021-11-30 19:56:00.000000
9,,['เที่ยวตามโปร'],"#อวสานบัตรเข้าเลาจน์ที่คุ้มที่สุดในสามโลก😭😭
บัตรเครดิต ICBC(เคย)เป็นบัตรที่คุ้มมาก ในการเข้าห้องรับรองสนามบินนะครับ>>https://www.facebook.com/1052587281447133/posts/3967703396602159/?d=n",,2021-11-30 16:12:00.000000
